student,year,school
591,1969,80
592,1969,80
593,1970,80
594,1970,81
595,1971,81
596,1971,81
597,1971,81
598,1957,79
599,1956,79
600,1968,82
601,1969,82
602,1969,82
603,1971,82
604,1959,79
605,1962,79
606,1949,83
607,1966,84
608,1967,84
609,1967,84
610,1967,84
611,1969,84
612,1970,84
613,1971,84
614,1958,14
615,1966,85
616,1989,67
617,1970,86
618,1971,85
619,1961,14
620,1964,61
621,1966,61
622,1967,61
623,1967,61
624,1963,14
625,1970,87
626,1971,29
627,1969,14
628,1963,61
629,1970,55
630,1964,61
631,1964,61
632,1969,88
633,1969,88
634,1964,61
635,1970,14
636,1969,43
637,1969,43
638,1964,61
639,1967,61
640,1968,61
641,1949,7
642,1952,7
643,,78
645,1962,1
646,1968,89
647,1969,89
648,1969,89
649,1969,89
650,1969,89
651,1971,89
652,,51
653,1968,90
654,1987,24
655,1994,24
656,1983,24
657,1988,91
658,,7
659,,92
660,1956,7
661,1958,7
662,1962,60
663,1968,43
664,1969,43
665,1966,60
666,1969,60
667,1958,7
668,1959,7
669,,67
670,,7
671,,84
672,1976,44
673,,45
674,1959,7
675,1960,7
676,1968,7
677,1968,7
678,,7
679,2004,93
680,1969,7
681,1969,7
682,1962,7
683,1968,14
684,1962,7
685,1969,50
686,1970,50
687,1970,50
688,1962,7
689,1964,7
690,1964,7
691,1964,7
692,1968,19
693,1971,19
694,1964,7
695,1970,27
696,1970,27
697,1966,7
698,1970,60
699,1966,7
700,1978,9
701,1966,7
702,1967,7
703,1967,7
704,1967,7
705,1967,7
706,1971,43
707,1969,7
708,1969,7
709,1970,7
710,1970,7
711,1970,7
712,1998,18
713,1971,7
714,1971,7
715,1971,7
716,1973,7
717,1977,10
718,1978,10
719,,7
720,,7
721,1959,65
722,1964,65
723,1964,65
724,1971,44
725,1972,44
726,1964,65
727,1967,65
728,1967,65
729,1970,65
730,1969,7
731,1969,7
732,1961,94
733,1965,94
734,1965,94
735,1965,94
736,1966,94
737,1966,94
738,1967,94
739,1967,94
740,1968,94
741,1969,94
742,1960,59
743,1960,59
744,1964,95
745,1887,96
746,1965,55
747,1965,55
748,1965,55
749,1967,55
750,1969,55
751,1961,21
752,1992,97
753,1968,14
754,1969,14
755,1966,75
756,1967,50
757,1958,8
758,1968,98
759,1962,19
760,1967,7
761,1967,7
762,1968,7
763,1969,7
764,1970,7
765,1971,7
766,1962,19
767,1962,19
768,1964,19
769,1964,19
770,1970,66
771,1964,19
772,1966,19
773,1969,82
774,1966,19
775,1968,19
776,1969,19
777,1969,19
778,1964,43
779,1964,43
780,1970,95
781,1971,95
782,1893,99
783,1964,61
784,1964,61
785,1966,61
786,1970,55
787,1970,55
788,1968,61
789,1970,61
790,1972,44
791,1970,45
792,1964,95
793,1971,44
794,1970,59
795,1995,100
795,2005,78
796,1993,19
797,1997,2
798,1978,23
799,,101
800,1988,22
801,1997,19
802,1990,22
803,2001,22
804,1989,22
805,1903,21
806,1885,2
807,,28
808,1959,23
809,1960,23
810,1963,23
811,1964,23
812,1965,23
813,1965,23
814,1966,23
815,1966,23
816,1969,23
817,1971,23
818,1973,23
819,1974,23
820,1977,23
821,1977,23
822,1959,21
823,1969,23
824,1973,23
825,1977,23
826,1985,23
827,1990,24
828,,70
829,,70
830,,102
831,1994,102
832,1975,94
833,1941,103
834,1934,104
835,,7
836,,41
837,1950,21
838,1951,21
839,1951,21
840,1952,21
841,1953,21
842,1953,21
843,1953,21
844,1955,21
845,1955,21
846,1955,21
847,1953,105
848,1973,23
849,1973,23
850,1977,23
851,1978,23
852,1979,23
853,1994,23
854,1995,23
855,1966,23
856,1968,23
857,1970,23
858,1970,23
859,1971,23
860,1971,23
861,1974,23
862,1975,23
863,1976,23
864,1952,106
865,1984,23
866,1989,23
867,1994,23
868,1940,103
869,1963,23
870,1965,23
871,1968,23
872,1970,23
873,1970,23
874,1970,23
875,1974,23
876,1975,23
877,1938,107
879,1971,106
880,1989,23
881,1926,23
882,1947,23
883,1949,23
884,1951,23
885,1953,23
886,1954,23
887,1955,23
888,1956,23
889,1958,23
890,1958,23
891,1965,31
892,1959,23
893,1959,23
894,1960,23
895,1960,23
896,1961,23
897,1962,23
898,1963,23
899,1963,23
900,1964,23
901,1968,23
902,1952,108
903,1962,23
904,1964,23
905,1966,23
906,1967,23
907,1967,23
908,1968,23
909,1978,109
910,1969,23
911,1970,23
912,1974,23
913,1974,23
914,1974,23
915,1975,23
916,1975,23
917,1977,23
918,1978,23
919,1978,23
920,1980,23
921,1987,23
922,1987,23
923,1989,23
924,1989,23
925,1991,23
926,1992,23
927,1993,23
928,1966,32
929,1973,23
930,1974,23
931,1974,23
932,1981,23
933,1978,23
934,1981,23
935,1984,23
936,1984,23
937,1992,23
938,1993,23
939,1995,23
940,1968,7
941,1970,23
942,1976,23
943,1984,23
944,1989,23
945,1991,23
946,1949,23
947,1962,23
948,1963,23
949,1963,23
950,1963,23
951,1965,23
952,1965,23
953,1967,23
954,1959,23
955,1970,23
956,1971,23
957,1971,23
958,1971,23
959,1972,23
960,1972,23
961,1974,23
962,1969,23
963,1967,12
964,1989,23
965,1990,23
966,1994,23
967,1987,110
968,1990,110
969,1991,110
970,1992,110
971,1990,110
972,1990,110
973,1993,110
974,1995,110
975,1988,110
976,1991,110
977,1982,110
978,1980,110
979,1980,110
980,1981,110
981,1981,110
982,1991,110
983,1983,110
984,1993,110
985,1981,110
986,1981,110
987,1983,110
988,1983,110
989,1983,110
990,1988,110
991,1989,110
992,1987,110
993,1979,110
994,1988,110
995,1980,110
996,1993,110
997,1994,110
998,1983,110
999,1987,110
1000,1991,110
1001,1993,110
1002,1993,110
1003,1982,110
1004,1994,110
1005,1989,111
1006,1989,111
1007,1989,111
1008,1989,111
1009,1990,111
1010,1990,111
1011,1990,111
1012,1990,111
1013,1990,111
1014,1991,111
1015,1991,111
1016,1991,111
1017,1991,111
1018,1991,111
1019,1991,111
1020,1991,111
1021,1991,111
1022,1992,111
1023,1992,111
1024,1992,111
1025,1992,111
1026,1992,111
1027,1993,111
1028,1993,111
1029,1993,111
1030,1993,111
1031,1993,111
1032,1993,111
1033,1993,111
1034,1994,111
1035,1994,111
1036,1994,111
1037,1994,111
1038,1994,111
1039,1994,111
1040,1995,111
1041,1995,111
1042,1995,111
1043,1995,111
1044,1995,111
1045,1995,111
1046,1995,111
1047,1996,111
1048,1996,111
1049,1996,111
1050,1996,111
1051,1996,111
1052,1996,49
1053,1996,49
1054,1996,49
1055,1995,49
1056,1995,49
1057,1995,49
1058,1995,49
1059,1994,49
1060,1994,49
1061,1994,49
1062,1994,49
1063,1994,49
1064,1994,49
1065,1993,49
1066,1993,49
1067,1993,49
1068,1993,49
1069,1993,49
1070,1993,49
1071,1993,49
1072,1993,49
1073,1993,49
1074,1993,49
1075,1992,49
1076,1992,49
1077,1992,49
1078,1991,49
1079,1991,49
1080,1991,49
1081,1991,49
1082,1991,49
1083,1991,49
1084,1991,49
1085,1991,49
1086,1968,112
1087,1968,112
1088,1968,112
1089,1969,112
1090,1969,112
1091,1969,112
1092,1971,112
1093,1971,112
1094,1971,112
1095,1971,112
1096,1971,112
1098,1972,112
1099,1972,112
1100,1972,112
1101,1972,112
1102,1972,112
1103,1973,112
1104,1973,112
1105,1973,112
1106,1973,112
1107,1973,112
1108,1973,112
1109,1974,112
1110,1954,23
1111,1974,112
1112,1974,112
1113,1975,112
1114,1974,112
1115,1975,112
1116,1975,112
1117,1975,112
1118,1975,112
1119,1975,112
1120,1975,112
1121,1995,12
1122,1976,112
1123,1976,112
1124,1976,112
1125,1976,112
1126,1976,112
1127,1976,112
1128,1976,112
1129,1976,112
1130,1976,112
1131,1976,112
1132,1976,112
1133,1977,112
1134,1977,112
1135,1977,112
1136,1977,112
1137,1977,112
1138,1977,112
1139,1977,112
1140,1977,112
1141,1977,112
1142,1978,112
1143,1978,112
1144,1978,112
1145,1978,112
1146,1978,112
1147,1979,112
1148,1979,112
1149,1979,112
1150,1979,112
1151,1979,112
1152,1979,112
1153,1980,112
1154,1980,112
1155,1980,112
1156,1981,112
1157,1981,112
1158,1981,112
1159,1981,112
1160,1982,112
1161,1982,112
1162,1982,112
1163,1982,112
1164,1982,112
1165,1982,112
1166,1982,112
1167,1982,112
1168,1982,112
1169,1983,112
1170,1983,112
1171,1983,112
1172,1983,112
1173,1983,112
1174,1983,112
1175,1983,112
1176,1983,112
1177,1983,112
1178,1983,112
1179,1984,112
1180,1984,112
1181,1984,112
1182,1984,112
1183,1984,112
1184,1984,112
1185,1985,112
1186,1985,112
1187,1985,112
1188,1985,112
1189,1986,112
1190,1986,112
1191,1986,112
1192,1986,112
1193,1986,112
1194,1987,112
1195,1987,112
1196,1987,112
1197,1987,112
1198,1987,112
1199,1988,112
1200,1988,112
1201,1988,112
1202,1988,112
1203,1988,112
1204,1988,112
1205,1989,112
1206,1989,112
1207,1989,112
1208,1989,112
1209,1989,112
1210,1989,112
1211,1989,112
1212,1989,112
1213,1989,112
1214,1989,112
1215,1990,112
1216,1990,112
1217,1990,112
1218,1990,112
1219,1990,112
1220,1990,112
1221,1990,112
1222,1990,112
1223,1991,112
1224,1991,112
1225,1991,112
1226,1991,112
1227,1991,112
1228,1991,112
1229,1991,112
1230,1991,112
1231,1991,112
1232,1991,112
1233,1992,112
1234,1992,112
1235,1992,112
1236,1992,112
1237,1992,112
1238,1992,112
1239,1992,112
1240,1993,112
1241,1993,112
1242,1993,112
1243,1993,112
1244,1993,112
1245,1993,112
1246,1993,112
1247,1994,112
1248,1994,112
1249,1994,112
1250,1994,112
1251,1994,112
1252,1994,112
1253,1995,112
1254,1995,112
1255,1995,112
1256,1995,112
1257,1995,112
1258,1995,112
1259,1995,112
1260,1995,112
1261,1995,112
1262,1995,112
1263,1995,112
1264,1995,112
1265,1995,112
1266,1995,112
1267,2001,113
1268,1969,114
1269,1979,21
1270,1997,95
1271,1934,68
1272,1909,27
1273,1974,82
1274,2001,60
1275,1995,114
1276,1992,47
1277,1987,111
1278,2002,115
1279,1935,12
1280,1977,47
1281,1971,68
1282,1987,47
1283,1969,88
1284,1964,22
1285,1991,22
1286,1961,23
1287,1998,2
1288,1997,60
1289,2001,6
1290,1993,116
1291,1978,16
1292,1987,112
1293,1977,9
1294,1956,117
1295,1948,103
1296,,4
1297,1995,35
1298,1997,95
1299,1989,60
1300,1997,118
1301,1963,103
1302,1985,32
1303,1966,16
1304,1989,119
1305,1974,68
1306,1972,68
1307,1960,28
1308,1972,119
1309,1960,120
1310,1997,120
1311,1977,68
1312,1988,120
1313,1956,28
1314,1975,120
1315,1996,120
1316,1971,120
1317,,121
1318,1968,67
1319,1989,20
1320,1934,122
1321,1994,73
1322,1997,2
1323,1993,22
1324,2001,82
1325,1992,31
1326,1992,120
1327,1992,120
1328,1953,120
1329,1972,120
1330,1977,68
1331,1995,120
1332,1983,120
1333,1997,120
1334,1995,120
1335,1980,120
1336,1997,123
1337,1973,124
1338,1952,37
1339,1967,68
1340,1977,120
1341,1989,120
1342,1979,68
1343,1979,21
1344,1981,120
1345,1997,123
1346,1972,68
1347,1988,120
1348,1963,103
1349,1978,12
1350,1964,103
1351,1957,120
1352,1983,120
1353,1975,120
1354,1923,68
1355,1997,123
1356,1992,120
1357,1972,120
1358,1962,103
1359,1971,60
1360,1981,120
1361,1976,120
1362,1988,120
1363,1989,120
1364,1989,120
1365,1973,68
1366,1974,56
1367,1997,125
1368,1966,9
1369,1978,126
1370,1976,41
1371,1998,112
1372,1986,22
1373,1984,120
1374,1950,127
1375,1961,128
1376,1978,67
1377,1936,68
1378,1985,120
1379,1965,120
1380,2002,2
1381,1985,120
1382,1989,120
1383,1975,129
1384,1990,48
1385,1989,48
1386,1906,27
1387,1988,48
1388,1988,48
1389,1905,27
1390,1988,48
1391,1987,48
1392,1987,48
1393,1986,48
1394,1971,17
1395,1986,48
1396,1985,48
1397,1970,68
1398,1998,11
1399,1961,39
1400,1969,130
1401,1941,127
1402,1975,115
1403,1985,48
1404,1984,48
1405,1984,48
1406,1937,68
1407,1926,68
1408,1982,48
1409,1982,48
1410,1982,48
1411,1982,48
1412,1957,121
1413,1981,48
1414,1969,68
1415,1981,48
1416,1981,48
1417,1981,48
1418,1981,48
1419,1981,48
1420,1980,48
1422,1911,27
1423,1930,68
1424,1980,48
1425,1980,48
1426,1969,68
1427,1980,48
1428,1980,48
1429,1951,127
1430,1932,99
1431,1980,48
1432,1979,48
1433,1979,48
1434,1979,48
1435,1979,48
1436,1970,103
1437,1916,27
1438,1979,48
1439,1979,48
1440,1979,48
1441,1979,48
1442,1969,124
1443,1978,48
1444,2006,131
1445,1977,48
1446,1979,56
1447,1977,48
1448,1968,28
1449,1977,48
1450,1977,48
1451,1977,48
1452,1941,33
1453,1966,31
1454,1966,28
1455,1961,2
1456,1976,48
1457,1976,48
1458,1976,48
1459,1975,48
1460,1975,48
1461,1915,27
1462,1975,48
1463,1975,48
1464,1953,40
1465,1954,12
1466,1975,48
1467,1955,2
1468,1910,68
1469,1975,48
1470,1974,48
1471,1974,48
1472,1966,68
1473,1974,48
1474,1974,48
1475,1973,48
1476,1973,48
1477,1956,132
1478,1973,48
1479,1973,48
1480,1973,48
1481,1972,48
1482,1972,48
1483,1972,48
1484,1951,127
1485,1910,68
1486,1910,68
1487,1970,68
1488,1921,68
1489,1929,28
1490,1956,28
1491,1928,68
1492,1972,48
1493,1961,28
1494,1971,48
1495,1971,48
1496,1964,2
1497,1971,48
1498,1971,48
1499,1971,48
1500,1996,1
1501,1970,48
1502,1973,68
1503,1989,133
1504,1991,133
1505,1993,133
1506,1993,133
1507,1994,133
1508,1996,133
1509,1995,133
1510,1996,133
1511,1973,134
1512,1974,134
1513,1975,134
1514,1975,134
1515,1976,134
1516,1977,134
1517,1977,134
1518,1977,134
1519,1980,134
1520,1980,134
1521,1980,134
1522,1980,134
1523,1981,134
1524,1982,134
1525,1982,134
1526,1982,134
1527,1984,134
1528,1984,134
1529,1984,134
1530,1986,134
1531,1986,134
1532,1986,134
1533,1986,134
1534,1987,134
1535,1987,134
1536,1989,134
1537,1989,134
1538,1990,134
1539,1990,134
1540,1991,134
1541,1991,134
1542,1992,134
1543,1992,134
1544,1992,134
1545,1992,134
1546,1993,134
1547,1993,134
1548,1993,134
1549,1994,134
1550,1994,134
1551,1994,134
1552,1994,134
1553,1994,134
1554,1994,134
1555,1995,134
1556,1995,134
1557,1995,134
1558,1995,134
1559,1996,134
1560,1996,134
1561,1990,135
1562,1990,135
1563,1990,135
1564,1990,135
1565,1991,135
1566,1991,135
1567,1991,135
1568,1991,135
1569,1991,135
1570,1991,135
1571,1992,135
1572,1992,135
1573,1992,135
1574,1993,135
1575,,135
1576,1993,135
1577,1993,135
1578,1994,135
1579,1994,135
1580,1995,135
1581,1995,135
1582,1995,135
1583,1995,135
1584,1995,135
1585,1995,135
1586,1996,135
1587,1996,135
1588,1997,135
1589,1996,135
1590,1978,114
1591,1979,114
1592,1982,114
1593,1982,114
1594,1983,114
1595,1985,114
1596,1985,114
1597,1986,114
1598,1986,114
1599,1988,114
1600,1988,114
1601,1989,114
1602,1989,114
1603,1989,114
1604,1990,114
1605,1990,114
1606,1990,114
1607,1990,114
1608,1990,114
1609,1990,114
1610,1991,114
1611,1991,114
1612,1991,114
1613,1991,114
1614,1991,114
1615,1991,114
1616,1991,114
1617,1991,114
1618,1991,114
1619,1991,114
1620,1991,114
1621,1992,114
1622,1993,114
1623,1993,114
1624,1993,114
1625,1993,114
1626,1993,114
1627,1993,114
1628,1997,18
1629,1994,114
1630,1994,114
1631,1994,114
1632,1994,114
1633,1994,114
1634,1993,114
1635,1994,114
1636,1994,114
1637,1995,114
1638,1995,114
1639,1995,114
1640,1995,114
1641,1991,101
1642,1995,114
1643,1995,114
1644,1995,114
1645,1991,136
1646,1991,136
1647,1993,136
1648,1993,136
1649,1994,136
1650,1994,136
1651,1994,136
1652,1995,136
1653,1995,136
1654,1995,136
1655,1996,136
1656,1996,136
1657,1961,63
1658,1961,63
1659,1962,63
1660,1962,63
1661,1962,63
1662,1962,63
1663,1963,63
1664,1970,48
1665,1970,48
1666,1964,63
1667,1965,63
1668,1965,63
1669,1998,137
1670,1970,48
1671,1966,63
1672,1966,63
1673,1966,63
1674,1966,63
1675,1966,63
1676,1970,48
1677,1966,63
1678,1966,63
1679,1951,33
1680,1967,63
1681,1967,63
1682,1968,63
1683,1968,63
1684,1969,63
1685,1969,48
1686,1969,63
1687,1970,63
1688,1970,63
1689,1969,48
1690,1970,63
1691,1970,63
1692,1971,63
1693,1971,63
1694,1971,63
1695,1971,63
1696,1971,63
1697,1971,63
1698,1971,63
1699,1971,63
1700,1971,63
1701,1972,63
1702,1972,63
1703,1972,63
1704,1972,63
1705,1972,63
1706,1973,63
1707,1973,63
1708,1974,63
1709,1974,63
1710,1974,63
1711,1974,63
1712,1974,63
1713,1975,63
1714,1997,9
1715,1975,63
1716,1976,63
1717,1976,63
1718,1976,63
1719,1977,63
1720,1978,63
1721,1978,63
1722,1978,63
1723,1978,63
1724,1978,63
1725,1978,63
1726,1979,63
1727,1979,63
1728,1979,63
1729,1979,63
1730,1979,63
1731,1980,63
1732,1980,63
1733,1980,63
1734,1980,63
1735,1980,63
1736,1981,63
1737,1982,63
1738,1982,63
1739,1982,63
1740,1982,63
1741,1982,63
1742,1983,63
1743,1984,63
1744,1984,63
1745,1985,63
1746,1986,63
1747,1986,63
1748,1987,63
1749,1987,63
1750,1988,63
1751,1988,63
1752,1988,63
1753,1989,63
1754,1990,63
1755,1990,63
1756,1990,63
1757,1990,63
1758,1991,63
1759,1991,63
1760,1991,63
1761,1993,63
1762,1991,63
1763,1992,63
1764,1992,63
1765,1992,63
1766,1992,63
1767,1993,63
1768,1993,63
1769,1993,63
1770,1993,63
1771,1993,63
1772,1993,63
1773,1993,63
1774,1994,63
1775,1994,63
1776,1994,63
1777,1994,63
1778,1994,63
1779,1994,63
1780,1994,63
1781,1992,91
1782,1978,138
1783,1974,109
1784,1971,109
1785,1994,139
1786,1969,22
1787,1984,91
1788,1965,48
1789,1980,91
1790,1986,19
1791,1981,123
1792,1965,91
1793,1971,91
1794,1993,109
1795,1986,91
1796,1967,22
1797,1974,109
1798,1991,138
1799,1971,123
1800,1992,19
1801,1974,91
1802,1959,63
1803,1978,91
1804,1971,109
1805,1979,109
1806,1971,91
1807,1987,19
1808,1980,109
1809,1958,63
1810,1993,139
1811,1995,123
1812,1967,48
1813,1962,91
1814,1989,19
1815,1954,32
1816,1987,91
1817,1973,139
1818,1985,22
1819,1980,109
1820,1988,109
1821,1996,22
1822,1974,138
1823,1985,22
1824,1954,63
1825,1995,19
1826,1985,123
1827,1986,109
1828,1969,48
1829,1974,22
1830,1978,139
1831,1968,22
1832,1987,109
1833,1982,91
1834,1991,22
1835,1970,22
1836,1966,109
1837,1974,91
1838,1989,91
1839,1973,91
1840,1995,22
1841,1995,123
1842,1982,22
1843,1967,91
1844,1996,19
1845,1955,123
1846,1976,138
1847,1962,109
1848,1971,91
1849,1993,22
1850,1991,19
1851,1956,91
1852,1993,48
1853,1978,48
1854,1996,123
1855,1985,22
1856,1974,91
1857,1995,123
1858,1993,22
1859,1976,91
1860,1979,109
1861,1953,63
1862,1981,123
1863,1956,27
1864,1972,138
1865,1961,91
1866,1972,22
1867,1983,19
1868,1984,19
1869,1980,139
1870,1968,91
1871,1967,91
1872,1969,109
1873,1989,19
1874,1982,123
1875,1968,48
1876,1959,63
1877,1973,91
1878,1970,91
1879,1987,22
1880,1964,123
1881,1956,91
1882,1973,109
1883,1982,91
1884,1994,19
1885,1964,91
1886,1971,91
1887,1995,19
1888,1963,22
1889,1984,19
1890,1975,22
1891,1981,48
1892,1959,91
1893,1960,91
1894,1985,48
1895,1987,19
1896,1994,48
